settlement_id,payment_id,settlement_date,gross_amount,fee,tax,net_amount,status
STL_0077,PAY_0077,2024-09-22,26304.34,563.67,101.46,25639.210000000003,processed
STL_0078,PAY_0078,2024-08-23,44704.83,1049.21,188.86,43466.76,processed
STL_0079,PAY_0079,2024-08-13,21035.96,442.47,79.64,20513.85,processed
STL_0080,PAY_0080,2024-08-30,45289.5,991.93,178.55,44119.02,processed
STL_0081,PAY_0081,2024-10-09,17912.06,407.15,73.29,17431.62,processed
STL_0082,PAY_0082,2024-10-07,11416.67,250.53,45.1,11121.039999999999,processed
STL_0083,PAY_0083,2024-09-21,40008.05,907.01,163.26,38937.78,processed
STL_0089,PAY_0089,2024-09-14,6162.28,128.42,23.12,6010.74,processed
STL_0090,PAY_0090,2024-09-09,48204.87,1103.57,198.64,46902.66,processed
STL_0091,PAY_0091,2024-09-30,15941.88,324.9,58.48,15558.5,processed
STL_0092,PAY_0092,2024-09-16,41613.3,1009.18,181.65,40422.47,processed
STL_0093,PAY_0093,2024-09-10,40373.63,941.01,169.38,39263.24,processed
STL_0094,PAY_0094,2024-08-07,25545.06,524.38,94.39,24926.29,processed
STL_0095,PAY_0095,2024-08-27,31961.46,722.61,130.07,31108.78,processed
STL_0096,PAY_0096,2024-09-14,13869.08,318.47,57.32,13493.29,processed
STL_0097,PAY_0097,2024-08-22,42659.8,1013.27,182.39,41464.14000000001,processed
STL_0098,PAY_0098,2024-09-08,30711.42,642.15,115.59,29935.199999999997,processed
STL_0099,PAY_0099,2024-09-23,13288.44,302.7,54.49,12900.58,processed
STL_0100,PAY_0100,2024-08-14,4737.84,116.12,20.0,4606.72,processed
